Crown Diameter (x1),Leaf Shape (x2),Fruit Diameter (x3),Fruit Shape (x4),Stem Diameter (x5),Intermediary Fruit Color (x6),Pericarp Thickness (x7),Leaf Size (x8),Fresh Mass (x9),Fruit Weight (x10),Branch Density (x11),Corolla Color (x12),Mature Fruit Color (x13),Dry Mass (x14),Plant Height (x15),Stem Length (x16),Immature Fruit Color (x17),Corolla Diameter (x18),Fruit Length (x19),Seeds/fruit (x20),Species (y),
96.0,1,1.678,3,1.179,4,0.184,12.104,1.588,1.833,5,2,8,0.227,115.000,67.000,4,1.291,2.707,26,C. C. Chinense,
123.0,1,2.007,3,1.071,4,0.153,13.502,1.930,2.233,5,2,8,0.276,125.000,65.500,4,1.160,3.027,26,C. C. Chinense,
129.0,1,1.846,3,0.913,4,0.174,12.222,1.871,2.282,5,2,8,0.027,123.000,65.000,4,1.350,2.973,38,C. C. Chinense,
125.0,1,1.802,3,1.040,4,0.231,10.667,1.714,2.011,5,2,8,0.246,111.000,64.500,4,1.149,2.989,29,C. C. Chinense,
98.0,1,1.889,3,1.030,4,0.195,11.286,1.400,1.858,5,2,8,0.221,132.000,62.100,4,1.128,2.896,24,C. C. Chinense,
90.0,2,2.267,5,0.846,4,0.146,12.507,4.200,4.440,7,2,5,0.494,125.000,53.000,2,1.670,4.266,21,C. C. Chinense,
83.0,2,2.590,5,0.937,4,0.243,12.136,4.900,7.460,7,2,5,0.784,127.000,50.000,2,1.606,4.870,29,C. C. Chinense,
100.0,2,1.935,5,1.063,4,0.189,14.018,3.460,3.790,7,2,5,0.493,131.000,47.000,2,1.472,4.197,16,C. C. Chinense,
110.0,2,2.390,5,0.944,4,0.223,14.270,4.360,6.780,7,2,5,0.717,125.000,45.000,2,1.490,5.415,20,C. C. Chinense,
123.0,2,2.028,5,0.881,4,0.262,13.642,4.120,4.370,7,2,5,0.510,122.000,45.000,2,1.699,4.536,12,C. C. Chinense,
90.0,2,1.004,1,0.623,4,0.155,12.349,0.953,1.345,5,4,7,0.150,150.000,107.000,2,1.081,3.443,27,C. Frutescens,
70.0,2,0.747,1,0.767,4,0.145,15.085,0.515,0.737,5,4,7,0.084,132.000,85.000,2,1.167,2.729,15,C. Frutescens,
56.0,2,0.983,1,0.727,4,0.146,12.072,0.874,1.202,5,4,7,0.139,120.000,81.000,2,1.216,2.983,27,C. Frutescens,
79.0,2,0.736,1,0.790,4,0.122,16.577,0.445,0.642,5,4,7,0.086,119.000,103.000,2,1.297,2.771,15,C. Frutescens,
83.0,2,0.618,1,0.740,4,0.163,14.033,0.489,0.743,5,4,7,0.089,130.000,92.000,2,1.134,2.770,20,C. Frutescens,
90.0,2,1.637,3,1.124,4,0.192,10.521,1.531,1.740,5,1,8,0.240,76.000,11.000,1,1.688,2.480,30,C. C. Chinense,
97.0,2,1.718,3,1.243,4,0.188,10.020,1.698,2.000,5,1,8,0.180,70.000,17.000,1,1.695,2.371,37,C. C. Chinense,
100.0,2,1.283,3,1.075,4,0.266,9.005,0.988,1.090,5,1,8,0.150,84.000,13.000,1,1.630,1.853,23,C. C. Chinense,
120.0,2,1.520,3,1.044,4,0.292,9.765,1.368,1.580,5,1,8,0.170,94.000,13.000,1,1.582,2.269,25,C. C. Chinense,
112.0,2,1.260,3,1.006,4,0.271,9.950,0.938,1.060,5,1,8,0.120,80.000,12.000,1,1.512,2.118,17,C. C. Chinense,
85.0,3,1.122,1,1.165,6,0.190,9.212,3.210,3.580,5,1,8,0.640,139.000,23.000,4,1.293,8.139,41,C. Frutescens,
74.0,3,0.923,1,0.997,6,0.209,8.735,2.880,3.180,5,1,8,0.500,105.000,15.000,4,1.513,7.177,25,C. Frutescens,
77.0,3,1.045,1,1.204,6,0.221,9.273,3.100,3.440,5,1,8,0.610,98.000,17.000,4,1.277,7.862,30,C. Frutescens,
83.0,3,0.942,1,1.048,6,0.195,8.571,2.640,2.940,5,1,8,0.530,108.000,22.000,4,1.660,7.497,19,C. Frutescens,
85.0,3,0.734,1,1.172,6,0.182,9.135,2.640,2.740,5,1,8,0.470,110.000,18.000,4,1.364,6.376,19,C. Frutescens,
92.0,2,1.220,3,1.074,2,0.227,10.030,0.885,0.987,5,1,4,0.117,93.000,18.000,1,1.463,2.378,13,C. C. Chinense,
100.0,2,1.203,3,1.086,2,0.196,9.570,0.931,1.080,5,1,4,0.119,96.000,24.000,1,1.391,2.370,16,C. C. Chinense,
102.0,2,1.159,3,1.102,2,0.243,9.890,0.813,0.913,5,1,4,0.096,70.000,17.000,1,1.479,2.006,16,C. C. Chinense,
90.0,2,0.971,3,1.270,2,0.199,11.050,0.720,0.783,5,1,4,0.087,85.000,21.000,1,1.531,1.978,15,C. C. Chinense,
110.0,2,1.055,3,1.107,2,0.240,10.070,0.679,0.763,5,1,4,0.900,82.000,22.000,1,1.328,2.030,12,C. C. Chinense,
77.0,1,1.575,2,0.962,2,0.266,12.030,0.770,0.930,5,1,5,0.102,102.000,35.000,2,1.349,0.990,20,C. C. Chinense,
62.0,1,1.423,2,0.918,2,0.252,12.240,0.870,1.100,5,1,5,0.107,134.000,44.000,2,1.130,1.106,32,C. C. Chinense,
66.0,1,1.389,2,1.017,2,0.266,11.150,0.720,0.950,5,1,5,0.111,107.000,47.000,2,1.292,1.020,30,C. C. Chinense,
68.0,1,1.454,2,0.937,2,0.184,12.730,0.720,0.940,5,1,5,0.087,120.000,47.000,2,1.243,1.005,25,C. C. Chinense,
70.0,1,1.329,2,0.910,2,0.196,12.010,0.610,0.720,5,1,5,0.086,119.000,45.000,2,1.379,0.947,21,C. C. Chinense,
40.0,3,1.022,3,0.907,4,0.220,1.100,0.980,1.411,5,4,8,0.142,104.000,32.000,3,1.638,2.585,40,C. Frutescens,
38.0,3,0.970,3,0.710,4,0.120,1.200,1.105,1.494,5,4,8,0.174,108.000,58.000,3,1.467,3.401,39,C. Frutescens,
37.0,3,0.835,3,0.825,4,0.143,1.100,0.896,1.175,5,4,8,0.122,110.000,38.000,3,1.645,2.908,30,C. Frutescens,
35.0,3,0.828,3,0.858,4,0.120,1.300,0.718,0.918,5,4,8,0.108,90.000,43.000,3,1.560,2.809,23,C. Frutescens,
33.0,3,0.824,3,0.991,4,0.153,1.200,1.174,1.520,5,4,8,0.207,112.000,36.000,3,1.668,3.619,33,C. Frutescens,
43.0,3,1.322,3,0.632,6,0.165,8.231,1.091,1.302,7,1,8,0.118,37.000,10.000,1,1.958,1.802,23,C. Frutescens,
39.0,3,1.508,3,0.596,6,0.220,7.351,1.747,2.110,7,1,8,0.181,34.000,11.000,1,1.978,2.417,32,C. Frutescens,
40.0,3,1.344,3,0.776,6,0.181,6.772,1.055,1.285,7,1,8,0.116,37.000,10.000,1,1.701,1.975,19,C. Frutescens,
41.0,3,1.605,3,0.997,6,0.183,8.930,1.640,1.856,7,1,8,0.187,31.000,11.000,1,1.883,2.190,16,C. Frutescens,
37.0,3,1.543,3,0.825,6,0.203,8.079,1.220,1.486,7,1,8,0.136,32.000,11.000,1,1.772,1.903,20,C. Frutescens,

